CO,CDS,DISTRICT,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type
47,70250,Dunsmuir Joint Union High,"1,732,087",57.7,"30,008",High                     
47,70292,Forks of Salmon Elementary,"231,483",8.2,"28,299",Elementary               
47,70318,Gazelle Union Elementary,"426,124",27.3,"15,609",Elementary               
47,70326,Grenada Elementary,"1,880,970",195.4,"9,625",Elementary               
47,70334,Happy Camp Union Elementary,"1,261,217",100.6,"12,539",Elementary               
47,70359,Hornbrook Elementary,"878,888",49.1,"17,911",Elementary               
47,70367,Junction Elementary,"439,081",26.5,"16,594",Elementary               
47,70375,Klamath River Union Elementary,"253,944",17.0,"14,903",Elementary               
47,70383,Little Shasta Elementary,"311,933",15.1,"20,617",Elementary               
47,70409,McCloud Union Elementary,"654,512",53.6,"12,204",Elementary               
47,70417,Montague Elementary,"1,667,404",146.6,"11,375",Elementary               
47,70425,Mt. Shasta Union Elementary,"5,365,665",526.4,"10,192",Elementary               
47,70458,Seiad Elementary,"348,482",16.7,"20,930",Elementary               
47,70466,Siskiyou Union High,"8,145,279",508.2,"16,027",High                     
47,70482,Weed Union Elementary,"3,118,798",267.5,"11,659",Elementary               
47,70490,Willow Creek Elementary,"544,846",37.7,"14,441",Elementary               
47,70508,Yreka Union Elementary,"9,357,800",947.4,"9,878",Elementary               
47,70516,Yreka Union High,"8,416,421",551.3,"15,266",High                     
47,73684,Butte Valley Unified,"4,019,607",289.8,"13,872",Unified                  
47,76455,Scott Valley Unified,"7,738,589",632.0,"12,245",Unified                  
48,70524,Benicia Unified,"45,151,119","4,578.2","9,862",Unified                  
48,70532,Dixon Unified,"33,029,113","3,061.0","10,790",Unified                  
48,70540,Fairfield-Suisun Unified,"208,430,635","20,576.8","10,129",Unified                  
48,70565,Travis Unified,"54,296,711","5,258.4","10,326",Unified                  
48,70573,Vacaville Unified,"115,039,998","10,849.5","10,603",Unified                  
48,70581,Vallejo City Unified,"143,872,917","11,348.3","12,678",Unified                  
49,40246,Petaluma City Elementary/Joint Union High,"82,864,865","7,027.6","11,791",Comm admin dist          
49,40253,Santa Rosa City Schools,"173,293,176","13,878.9","12,486",Comm admin dist          
49,70599,Alexander Valley Union Elementary,"2,177,012",110.8,"19,645",Elementary               
49,70607,West Sonoma County Union High,"22,661,014","1,752.1","12,934",High                     
49,70615,Bellevue Union Elementary,"20,998,195","1,610.9","13,035",Elementary               
49,70623,Bennett Valley Union Elementary,"10,397,185",982.1,"10,587",Elementary               
49,70649,Cinnabar Elementary,"3,458,566",274.2,"12,614",Elementary               
49,70656,Cloverdale Unified,"16,975,853","1,348.0","12,593",Unified                  
49,70672,Dunham Elementary,"1,969,336",183.4,"10,739",Elementary               
49,70680,Forestville Union Elementary,"3,921,646",243.5,"16,103",Elementary               
49,70698,Fort Ross Elementary,"686,141",17.8,"38,656",Elementary               
49,70706,Geyserville Unified,"3,989,040",224.7,"17,757",Unified                  
49,70714,Gravenstein Union Elementary,"7,152,133",707.5,"10,110",Elementary               
49,70722,Guerneville Elementary,"3,484,684",253.8,"13,729",Elementary               
49,70730,Harmony Union Elementary,"4,101,738",238.9,"17,171",Elementary               
49,70763,Horicon Elementary,"1,704,306",55.5,"30,692",Elementary               
49,70789,Kenwood Elementary,"2,445,784",130.8,"18,699",Elementary               
49,70797,Liberty Elementary,"2,487,004",209.6,"11,863",Elementary               
49,70805,Mark West Union Elementary,"14,252,360","1,257.8","11,331",Elementary               
49,70813,Monte Rio Union Elementary,"1,666,395",85.1,"19,593",Elementary               
49,70821,Montgomery Elementary,"687,307",31.7,"21,716",Elementary               
49,70839,Oak Grove Union Elementary,"9,763,984",819.6,"11,913",Elementary               
49,70847,Old Adobe Union Elementary,"23,361,490","1,782.7","13,104",Elementary               
49,70870,Piner-Olivet Union Elementary,"12,969,544",975.8,"13,292",Elementary               
49,70888,Kashia Elementary,"293,804",9.7,"30,258",Elementary               
49,70896,Rincon Valley Union Elementary,"32,102,211","2,980.4","10,771",Elementary               
49,70904,Roseland Elementary,"29,174,789","1,359.5","21,460",Elementary               
49,70938,Sebastopol Union Elementary,"6,661,188",474.1,"14,050",Elementary               
49,70953,Sonoma Valley Unified,"49,827,396","3,725.0","13,377",Unified                  
49,70961,Twin Hills Union Elementary,"7,791,257",642.0,"12,136",Elementary               
49,70979,Two Rock Union Elementary,"2,067,477",149.3,"13,852",Elementary               
49,70995,Waugh Elementary,"8,157,197",839.2,"9,721",Elementary               
49,71001,West Side Union Elementary,"1,985,445",174.7,"11,367",Elementary               
49,71019,Wilmar Union Elementary,"2,358,304",242.0,"9,744",Elementary               
49,71035,Wright Elementary,"18,104,412","1,493.7","12,120",Elementary               
49,73882,Cotati-Rohnert Park Unified,"63,609,131","5,506.8","11,551",Unified                  
49,75358,Windsor Unified,"42,600,097","3,741.4","11,386",Unified                  
49,75390,Healdsburg Unified,"22,030,178","1,453.5","15,156",Unified                  
50,40717,Modesto City Schools,"345,931,329","28,415.1","12,174",Comm admin dist          
50,71043,Ceres Unified,"144,409,508","12,971.0","11,133",Unified                  
50,71050,Chatom Union Elementary,"6,349,210",560.7,"11,323",Elementary               
50,71068,Denair Unified,"15,306,491","1,212.8","12,621",Unified                  
50,71076,Empire Union Elementary,"28,718,969","2,852.5","10,068",Elementary               
50,71084,Gratton Elementary,"1,426,831",141.8,"10,062",Elementary               
50,71092,Hart-Ransom Union Elementary,"7,984,188",789.9,"10,108",Elementary               
50,71100,Hickman Community Charter,"9,032,538","1,027.4","8,791",Elementary               
50,71134,Keyes Union Elementary,"8,668,885",766.8,"11,306",Elementary               
50,71142,Knights Ferry Elementary,"1,131,295",137.6,"8,222",Elementary               
50,71209,Paradise Elementary,"1,951,748",181.5,"10,753",Elementary               
50,71217,Patterson Joint Unified,"66,020,120","5,780.4","11,421",Unified                  
50,71233,Roberts Ferry Union Elementary,"1,441,312",141.0,"10,226",Elementary               
50,71266,Salida Union Elementary,"24,680,819","2,277.0","10,839",Elementary               
50,71274,Shiloh Elementary,"1,571,853",159.6,"9,851",Elementary               
50,71282,Stanislaus Union Elementary,"35,063,131","3,378.4","10,379",Elementary               
50,71290,Sylvan Union Elementary,"75,628,976","7,742.4","9,768",Elementary               
50,71324,Valley Home Joint Elementary,"1,582,098",161.2,"9,812",Elementary               
50,73601,Newman-Crows Landing Unified,"33,439,764","3,020.9","11,069",Unified                  
50,75549,Hughson Unified,"22,341,720","1,967.9","11,353",Unified                  
50,75556,Riverbank Unified,"31,757,050","2,266.8","14,010",Unified                  
50,75564,Oakdale Joint Unified,"53,189,757","4,997.1","10,644",Unified                  
50,75572,Waterford Unified,"21,219,592","1,688.2","12,569",Unified                  
50,75739,Turlock Unified,"142,328,712","13,406.6","10,616",Unified                  
51,71357,Brittan Elementary,"3,811,150",429.6,"8,872",Elementary               
51,71365,Browns Elementary,"1,576,926",145.5,"10,841",Elementary               
51,71373,East Nicolaus Joint Union High,"3,391,998",296.8,"11,429",High                     
51,71381,Franklin Elementary,"4,078,785",455.5,"8,955",Elementary               
51,71399,Live Oak Unified,"19,940,840","1,782.0","11,190",Unified                  
51,71407,Marcum-Illinois Union Elementary,"2,115,534",149.3,"14,172",Elementary               
51,71415,Meridian Elementary,"937,315",64.6,"14,510",Elementary               
51,71423,Nuestro Elementary,"1,461,131",145.5,"10,039",Elementary               
51,71431,Pleasant Grove Joint Union Elementary,"1,688,723",178.3,"9,471",Elementary               
51,71449,Sutter Union High,"7,522,999",737.3,"10,203",High                     
51,71456,Winship-Robbins Elementary,"1,649,042",134.0,"12,304",Elementary               
51,71464,Yuba City Unified,"139,372,665","11,785.6","11,826",Unified                  
52,71472,Antelope Elementary,"7,422,285",717.5,"10,345",Elementary               
52,71498,Corning Union Elementary,"21,289,913","2,011.0","10,587",Elementary               
52,71506,Corning Union High,"11,492,215",919.1,"12,503",High                     
52,71514,Elkins Elementary,"184,745",15.2,"12,162",Elementary               
52,71522,Evergreen Union Elementary,"10,282,435","1,048.1","9,811",Elementary               
52,71530,Flournoy Union Elementary,"345,173",27.5,"12,570",Elementary               
52,71548,Gerber Union Elementary,"4,655,582",388.7,"11,977",Elementary               
52,71555,Kirkwood Elementary,"1,022,853",95.3,"10,732",Elementary               
52,71563,Lassen View Union Elementary,"2,840,610",323.5,"8,781",Elementary               
52,71571,Los Molinos Unified,"7,163,469",555.0,"12,907",Unified                  
52,71621,Red Bluff Union Elementary,"21,982,673","1,939.2","11,336",Elementary               
52,71639,Red Bluff Joint Union High,"20,161,181","1,499.3","13,447",High                     
52,71647,Reeds Creek Elementary,"1,297,687",156.0,"8,318",Elementary               
52,71654,Richfield Elementary,"2,172,596",240.8,"9,024",Elementary               
53,71662,Burnt Ranch Elementary,"1,218,632",80.6,"15,129",Elementary               
53,71670,Coffee Creek Elementary,"213,630",3.8,"56,817",Elementary               
53,71696,Douglas City Elementary,"1,742,005",167.7,"10,388",Elementary               
53,71738,Junction City Elementary,"862,021",56.1,"15,371",Elementary               
53,71746,Lewiston Elementary,"903,947",54.3,"16,656",Elementary               
53,71761,Trinity Center Elementary,"224,202",13.0,"17,273",Elementary               
53,73833,Southern Trinity Joint Unified,"2,358,579",76.2,"30,936",Unified                  
53,75028,Mountain Valley Unified,"4,300,782",242.1,"17,768",Unified                  
53,76513,Trinity Alps Unified,"9,269,783",704.2,"13,164",Unified                  
54,71795,Allensworth Elementary,"987,297",79.5,"12,427",Elementary               
54,71803,Alpaugh Unified,"4,332,418",306.9,"14,118",Unified                  
54,71811,Alta Vista Elementary,"6,186,757",542.0,"11,416",Elementary               
54,71829,Buena Vista Elementary,"2,027,168",203.7,"9,950",Elementary               
54,71837,Burton Elementary,"47,919,869","4,757.4","10,073",Elementary               
54,71852,Columbine Elementary,"1,889,579",191.0,"9,892",Elementary               
54,71860,Cutler-Orosi Joint Unified,"46,621,835","3,985.3","11,699",Unified                  
54,71894,Ducor Union Elementary,"1,898,100",155.8,"12,181",Elementary               
54,71902,Earlimart Elementary,"22,019,700","1,747.6","12,600",Elementary               
54,71944,Hope Elementary,"2,437,610",238.9,"10,206",Elementary               
54,71951,Hot Springs Elementary,"276,833",16.3,"17,036",Elementary               
54,71969,Kings River Union Elementary,"5,027,938",444.4,"11,313",Elementary               
54,71985,Liberty Elementary,"4,605,464",607.1,"7,586",Elementary               
54,71993,Lindsay Unified,"56,858,330","3,944.1","14,416",Unified                  
54,72009,Monson-Sultana Joint Union Elementary,"4,805,755",455.7,"10,547",Elementary               
54,72017,Oak Valley Union Elementary,"5,080,166",546.8,"9,292",Elementary               
54,72025,Outside Creek Elementary,"946,322",84.6,"11,190",Elementary               
54,72033,Palo Verde Union Elementary,"5,323,444",552.7,"9,631",Elementary               
54,72041,Pixley Union Elementary,"13,473,025","1,032.7","13,047",Elementary               
54,72058,Pleasant View Elementary,"5,300,643",460.6,"11,507",Elementary               
54,72082,Richgrove Elementary,"8,859,710",596.2,"14,859",Elementary               
54,72090,Rockford Elementary,"3,540,932",343.4,"10,313",Elementary               
54,72108,Saucelito Elementary,"1,127,014",83.1,"13,570",Elementary               
54,72116,Sequoia Union Elementary,"3,274,499",321.1,"10,199",Elementary               
54,72132,Springville Union Elementary,"2,921,282",315.0,"9,274",Elementary               
54,72140,Stone Corral Elementary,"1,671,717",121.7,"13,735",Elementary               
54,72157,Strathmore Union Elementary,"8,379,068",756.8,"11,072",Elementary               
54,72173,Sundale Union Elementary,"7,560,052",803.2,"9,412",Elementary               
54,72181,Sunnyside Union Elementary,"4,034,133",345.6,"11,673",Elementary               
54,72199,Terra Bella Union Elementary,"10,492,568",884.6,"11,861",Elementary               
54,72207,Three Rivers Union Elementary,"1,209,478",137.2,"8,817",Elementary               
54,72215,Tipton Elementary,"6,065,159",555.1,"10,927",Elementary               
54,72223,Traver Joint Elementary,"2,544,510",209.7,"12,136",Elementary               
54,72231,Tulare City Elementary,"99,625,629","9,247.6","10,773",Elementary               
54,72249,Tulare Joint Union High,"68,147,082","5,274.4","12,920",High                     
54,72256,Visalia Unified,"291,946,925","27,508.2","10,613",Unified                  
54,72264,Waukena Joint Union Elementary,"2,484,900",208.7,"11,907",Elementary               
54,72298,Woodville Union Elementary,"5,492,659",418.6,"13,122",Elementary               
54,75325,Farmersville Unified,"30,294,612","2,395.1","12,649",Unified                  
54,75523,Porterville Unified,"147,210,720","12,833.6","11,471",Unified                  
54,75531,Dinuba Unified,"71,708,443","6,277.3","11,423",Unified                  
54,76794,Woodlake Unified,"25,462,900","2,042.0","12,470",Unified                  
54,76836,Exeter Unified,"29,299,289","2,685.6","10,910",Unified                  
55,72306,Belleview Elementary,"1,733,130",148.1,"11,702",Elementary               
55,72348,Columbia Union Elementary,"4,861,009",469.7,"10,350",Elementary               
55,72355,Curtis Creek Elementary,"4,706,339",422.9,"11,129",Elementary               
55,72363,Jamestown Elementary,"3,854,460",318.6,"12,099",Elementary               
55,72371,Sonora Elementary,"6,399,263",719.3,"8,896",Elementary               
55,72389,Sonora Union High,"12,081,331",964.7,"12,523",High                     
55,72397,Soulsbyville Elementary,"4,457,866",512.3,"8,702",Elementary               
55,72405,Summerville Elementary,"3,620,002",375.7,"9,635",Elementary               
55,72413,Summerville Union High,"6,289,598",391.0,"16,088",High                     
55,72421,Twain Harte Elementary,"3,540,043",247.9,"14,281",Elementary               
55,75184,Big Oak Flat-Groveland Unified,"5,175,045",266.5,"19,419",Unified                  
56,72447,Briggs Elementary,"5,849,187",535.5,"10,924",Elementary               
56,72454,Fillmore Unified,"43,580,211","3,588.2","12,146",Unified                  
56,72462,Hueneme Elementary,"91,151,236","8,112.0","11,237",Elementary               
56,72470,Mesa Union Elementary,"5,900,730",593.5,"9,943",Elementary               
56,72504,Mupu Elementary,"1,483,440",148.4,"9,996",Elementary               
56,72512,Ocean View Elementary,"26,398,766","2,496.2","10,575",Elementary               
56,72520,Ojai Unified,"25,211,825","2,294.9","10,986",Unified                  
56,72538,Oxnard Elementary,"189,019,124","15,983.6","11,826",Elementary               
56,72546,Oxnard Union High,"181,624,515","15,299.0","11,872",High                     
56,72553,Pleasant Valley,"60,837,077","6,130.6","9,924",Elementary               
56,72561,Rio Elementary,"53,332,547","4,916.2","10,848",Elementary               
56,72579,Santa Clara Elementary,"613,626",56.5,"10,857",Elementary               
56,72603,Simi Valley Unified,"166,206,169","15,970.4","10,407",Unified                  
56,72611,Somis Union Elementary,"2,851,415",244.7,"11,655",Elementary               
56,72652,Ventura Unified,"174,441,131","15,905.9","10,967",Unified                  
56,73759,Conejo Valley Unified,"183,305,848","18,101.7","10,126",Unified                  
56,73874,Oak Park Unified,"42,742,731","4,411.3","9,689",Unified                  
56,73940,Moorpark Unified,"60,094,659","6,017.0","9,988",Unified                  
56,76828,Santa Paula Unified,"66,140,006","5,105.1","12,956",Unified                  
57,72678,Davis Joint Unified,"92,803,867","7,695.4","12,060",Unified                  
57,72686,Esparto Unified,"10,700,299",876.5,"12,208",Unified                  
57,72694,Washington Unified,"87,230,453","7,391.3","11,802",Unified                  
57,72702,Winters Joint Unified,"17,297,066","1,456.5","11,876",Unified                  
57,72710,Woodland Joint Unified,"109,900,402","9,352.1","11,751",Unified                  
58,72728,Camptonville Elementary,"751,079",53.7,"13,994",Elementary               
58,72736,Marysville Joint Unified,"103,835,379","9,009.7","11,525",Unified                  
58,72744,Plumas Lake Elementary,"11,727,644","1,220.2","9,611",Elementary               
58,72751,Wheatland Elementary,"15,429,178","1,220.3","12,643",Elementary               
58,72769,Wheatland Union High,"8,445,348",725.7,"11,637",High                     
